,제목,가수,가사
13,Pink Venom,BLACKPINK,"Kick in the door Waving the coco
팝콘이나 챙겨 껴들 생각 말고
I talk that talk Runways I walk walk
눈 감고 pop pop 안 봐도 척

One by one then Two by two
내 손끝 툭 하나에 다 무너지는 중
가짜 쇼 치곤 화려했지
Makes no sense You couldn’t
get a dollar outta me

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음
Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Black paint and ammo,
got bodies like Rambo
Rest in peace, please light up a candle
This da life of a vandal,
masked up and I’m still in Celine
Designer crimes or it wouldn’t be me

Diamonds shinin’ drive in silence
I don’t mind it I’m ridin’
Flyin’ private side by side with da
pilot Up in the sky
And I’m wildin’, stylin’ on them and
there’s no chance
Cuz we got bodies on bodies like this a
slow dance

자 오늘 밤이야 난 독을 품은 꽃
네 혼을 빼앗은 다음
Look what you made us do

천천히 널 잠재울 FIRE 잔인할 만큼 아름다워

I bring the pain like

This that pink venom
This that pink venom
This that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

Taste that pink venom
Taste that pink venom
Taste that pink venom
Get ‘em, get ‘em, get ‘em
Straight to ya dome like
whoa whoa whoa
Straight to ya dome like ah ah ah

원한다면 provoke us
감당 못해 and you know this

이미 퍼져버린 shot that potion
네 눈앞은 핑크빛 ocean

Come and give me all the smoke
도 아니면 모 like I’m so rock and roll

Come and give me all the smoke
다 줄 세워 봐 자 STOP DROP

I bring the pain like

La tatata La tatata La tatata La tatata
La tatata La tatata

Straight to ya
Straight to ya
Straight to ya dome like

La tatata La tatata La tatata La tatata
La tatata La tatata

I bring the pain like"
14,딱 10CM만,"10CM, BIG Naughty (서동현)","1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
자세히 보아야 예쁘다
오래 보아야 사랑스럽다
참 좋아하던 말이었는데 글쎄
아무거나 눌러보다가
한발자국 뒤에서
보면 보이지 않던 아름다움이
보인다는 말에
집에 가는 길에
액정 밖의 화면을 봤네
맨날 본 똑같은 거리들이
오늘따라 이상하게 예뻐 보이는 게
싫은 것도 싫지 않아야 어른이 되지
우리 조금만 반 발자국만
한 발자국만 아님 반 발자국만
멀어져 볼까
1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
꽃을 보았다 예뻤다
자세히 보려고 꺾었다
참 좋아하던 향이었는데 글쎄
이제는 한 두번 누르는 향수처럼
쉽게 피고 아쉽게 지는
자세히 안 봐도 오래 안 봐도
이 거리를 가득 채우는
꽃들도 있더라고
삐거덕 거리는
빈 수레바퀴는
쉼과 의심 그 사이 어딘가로 더
미끄러져가는데
일찍이 이미 희미해 져버린
우리의 길 위 의미는 헤져버린
목적지에 적힌 음표와 같아서
1 2 3 4 5 6 7 8 9 10
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 10CM만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자
딱 반 발자국만
더도 말고 덜도 말고 딱 그 정도만
한번 해보자
우리 멀어져 보자"
15,우리들의 블루스,임영웅,"잊지는 말아요 함께 했던 날들
눈물이 날 때면
그대 뒤를 돌아보면 돼요
아프지 말아요 쓸쓸한 마음에
힘든 일이 참 많았죠 그대에겐
내가 곁에 있을게요
그댈 위해 노래할게요
잊지 말아요
그댈 위해 약속할게요
언젠가 우리 시간 지나면
알게 되겠죠
그땐 웃을 수 있죠 나 약속할게요
그땐 미소 짓겠죠
작은 행복까지 모두
외롭고 지칠 때 손잡아 줄게요
슬픔이 짙어질 때면 위로해 줄
그 한 사람이 될게요
그대 부디 울지 말아요
슬퍼 말아요
그대에게 빛이 될게요
언젠가 우리 시간 지나면
알게 되겠죠
그땐 웃을 수 있죠 나 약속할게요
폭풍 속에 혼자 남아 헤매도 오
길이 되어 지킬게요 그대
그댈 위해 노래할게요
잊지 말아요
그댈 위해 약속할게요
어두운 길을 밝게 비추는
그대의 빛이 될게요"
16,TOMBOY,(여자)아이들,"Look at you 넌 못 감당해 날
Ya took off hook
기분은 Coke like brrr
Look at my toe 나의 Ex 이름 Tattoo
I got to drink up now 네가 싫다 해도 좋아

Why are you cranky, boy?
뭘 그리 찡그려 너
Do you want a blond barbie doll?
It’s not here, I’m not a doll

미친 연이라 말해 What’s the loss to me ya
사정없이 까보라고 You’ll lose to me ya
사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지
너의 썩은 내 나는 향수나 뿌릴 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

I don’t wanna play this ping pong
I would rather film a Tik Tok
Your mom raised you as a prince
But this is queendom, right?
I like dancing, I love ma friends
Sometimes we swear without cigarettes
I like to eh on drinking whiskey
I won’t change it, what the hell?

미친 척이라 말해 What’s the loss to me ya
사정없이 씹으라고 You’re lost to me ya
사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지
너의 하찮은 말에 미소나 지을 바엔

Ye I’m a Tomboy (Umm ah umm)
Ye I’ll be the Tomboy (Umm ah)
This is my attitude
Ye I’ll be the Tomboy

Said you get it?
You get the song right, you’ll get what I mean “Tomboy”

La la la la la la la la la
La la la la la la la la la

La la la la la la la la la
La la la la la la la la la
(Three, two, one)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me I-DLE)

It’s neither man nor woman
Man nor woman
It’s neither man nor woman
(Just me loving Tomboy)"
17,다시 만날 수 있을까,임영웅,"너를 위해 해 줄 것이 하나 없어서
보낼 수밖에 없었고
네가 없이 사는 법을 알지 못해서
순간순간을 울었다
후회로 가득한 한숨 자락이
시린 바람처럼
가슴 치는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
붙잡을 마음이야 없었겠냐마는
그때 난 부끄러웠다
떳떳하게 일어나 널 다시 찾아갈
뜨거운 꿈만 꾸었다
둘이 함께 했던 순간순간이
시린 폭포처럼
쏟아지는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
그리운 마음이 서럽게 흘러넘쳐
너에게 닿을 때
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까"
18,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),"잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며
사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠

생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나
뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠

그리운 목소리 그리던 얼굴 참 많이도 기다렸어

다시 만나자는 너의 한마디에 울컥 눈물이 나
결국 너였단 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로
사랑했고 사랑할 거니까

같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어

다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠

그리운 만남을 그리던 날들 참 많이도 기다렸어

다시 너를 만나 더욱 더 소중해 같은 마음이란 걸

알아
기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까

처음 느낌 그대로 설렘이 가득한 날

고마워 다시 돌아와줘서

그때 그 순간처럼 날

안아줘

결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼

서로를 알아보고 그렇게 눈앞에 서있죠

우리 사랑했던 우리 다시 만나 그때 그 순간 그대로

사랑했고 사랑할 거니까"
19,해요 (2022),#안녕,"그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고"
20,그라데이션,10CM,"밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해
터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어"
21,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈","밤하늘, 손을 잡으면 기분이 좋다며
옅은 웃음 띠며 나에게 말하다
너는 슬픈 노래를 불렀는데
그게 우리 둘의 주제곡 같았어
하루는 순진한 눈으로 나를 바라보며
매일 두 손 모아 하늘에 빈다고
우리 둘의 시간이 영원하길
그게 참 아팠는데 그립기도 하더라
둘이 가던 둘이만 알던
수많은 거리 그 위로
하루하루 쌓여만 가던
소중했던 추억 그 위로
우리 다시 돌아갈 수 있을까 알아
결코 닿을 수 없는 시절의 우리
그때는 이해할 수 없던
너의 그 마지막
이젠 선명하게 다 알 것 같았어
그래 우린 그렇게 사랑해서
뻔한 이별마저도 우리다웠던 거야
둘이 가던 둘이만 알던
수많은 거리 그 위로
하루하루 쌓여만 가던
소중했던 추억 그 위로
우리 다시 돌아갈 수 있을까 알아
결코 닿을 수 없는 시절의 우리
그때의 우리처럼
둘이 가던 둘이만 알던
어설프던 풍경 그 위로
자라나고 쌓여만 가던
어리숙한 모습 그대로
이제 다시 돌아가면 어떨까 그래
결코 보낼 수 없는 시절의 우리"
22,Cookie,NewJeans,"내가 만든 쿠키
너를 위해 구웠지
But you know that it ain’t for free, yeah

내가 만든 쿠키
너무 부드러우니
자꾸만 떠오르니

널 choco-chip으로
Sprinkle로
입맛 버리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

내가 만든 쿠키
너에게는 독이지
네 마음속을 녹이지
So good, yeah

Looking at my cookie
역시 향기부터 다르니 (Taste it)
한입은 모자라니

널 choco-chip으로
Sprinkle로
정신 못 차리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Bet you know
Bet you know
Bet you know I
레시핀 없어 딴 데서는 못 찾아

Take it
Don't break it
I wanna see you taste it
Sugar, got sugar
난 재료 안 아끼지

Bet you know
Bet you know
Bet you know I
네 다이어트를 망치고 싶어 나

Take it
Don’t break it
I wanna see you taste it
Sugar, got sugar
Bet you want some

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Yeah yo
Yeah yo
Mm mm
Yeah yo
Yeah yo
Mm mm

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라"
23,사랑인가 봐,멜로망스,"너와 함께 하고 싶은 일들을
상상하는 게
요즘 내 일상이 되고
너의 즐거워하는 모습을 보고 있으면
자연스레 따라 웃고 있는 걸
너의 행동에 설레어하고 뒤척이다가
지새운 밤이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
점점 너와 하고 싶은 일들 생각하면서
하룰 보낸 날이 많아지는데
이건 누가 봐도 사랑일 텐데
종일 함께면 질릴 텐데
나 돌아서도 온통 너인 건
아무래도 사랑인가 봐
너의 행복해하는 모습을 보고 있으면
나도 모르게 따라 웃는데
이 정도면 알아줄 만하잖아
너도 용기 낼만 하잖아
나만 이런 게 아니라면
우리 만나볼 만하잖아
아무래도 사랑인가 봐"
24,무지개,임영웅,"오늘 하루 어땠었나요
많이 힘들었나요
쉬지 않고 달려왔던 길에서
나와 함께 쉬어가요
그냥 아무런 준비도 없이
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
힘껏 살다 보니 무뎌져
헝클어진 머리도
괜찮다며 그댈 안아줄 사람
바로 그대 곁에 있죠
까만 선글라스 하나 챙겨서
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
지금 떠나요"
25,내가 아니라도,주호,"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게"
26,이제 나만 믿어요,임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
27,아버지,임영웅,"하얀 머리 뽑아 달라며
한 개 백 원이라던
그 시절 다 지나가고
이젠 흰 눈만 남았네
그렇게도 힘이 드냐며
나를 위로하시다
어느새 잠들어버린
주름만 남은 내 아버지
세상이 아무리 힘들어도
당신 있으면 견딜 것 같아
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이 어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이
어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
사랑해요 내 아버지"
28,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),"Back to the day
갓 10대가 됐을 때
그때 내가 널 보지 못했다면
어땠을까 해
왜인지 외로워지는 밤에 You say
흐린 추억 속에 네게 안겨 잠드네
Yeah 친구들과의 술자리
나는 또 네 얘기를 꺼내
보고 싶다는 넋두리에
친구들 답은 뻔해
10년도 더 된 애를 사랑할 수 있냬
이제 그만 잊으래
근데 그게 잘 안돼
그래 걔 말마따나
넌 아담의 사과일 수도
But 난 신을 안 믿으니까
네 전화 바로 픽업
지금 주소 찍어
어디든 상관없어 다 갈 테니까
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
아메리카노보단 라떼를
맛있게 내리던 네 집 앞 카페를
매일 같이 갔었었던 그때를
내려줄게 쓰지 않아 이제는
넌 매일 밤 예뻐 예뻐
해주며 날 재워 재워
식어버린 널 데워 태워
꿈에서 날 깨워 줘
버려진 기억들 속에서
쓸만한 컷들을 찾고 있어
이미 내 곁에 더는 없는 너지만
난 너를 느낄 수 있어
닿을 듯 안 닿을 듯
떠나는 뒷모습이
왜인지 행복해 보여
너라도 행복해줘
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네가 뭘 알아
이건 사랑이 맞아
분명 약속했단 말이야
I know I’m wrong
그 자리에 그대로
두고 온 기억들을
더듬고 있을 때면
You say
그건 사랑이 아냐
그건 미련이 아냐
그냥 정리하고 가자
그건 사랑이 아냐
그건 미련이 아냐
그냥 정이라고 하자
임마 네 말이 맞아
이건 사랑이 아냐
그냥 정리하고 가자"
29,FEARLESS,LE SSERAFIM (르세라핌),"Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

제일 높은 곳에 난 닿길 원해 느꼈어 내 answer
내 혈관 속에 날뛰는 new wave 내 거대한 passion
관심 없어 과거에 모두가 알고 있는 그 트러블에 huh
I'm fearless a new b**ch new crazy 올라가 next one

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

욕심을 숨기라는 네 말들은 이상해
겸손한 연기 같은 건 더 이상 안 해
가져와 forever win 내게 ay
가슴팍에 숫자 1 내게 ay
내 밑으로 조아린 세계 ay
Take the world break it down break you down down

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba
Mmmm I’m fearless huh

더는 없어 패배
준비된 내 payback
Bring it 당장 내게
Mmmm I’m fearless huh

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh"
30,A bientot,임영웅,"A bientot
A bientot
이 밤이 지나면 괜찮아질 수 있을까
쓰린 내 맘이 회복될 수가 있을까
네가 떠난 빈자리가 너무 크니까
그 공허함에 깔려 겨우 살고 있잖아
기억은 잔인하고 후유증은 지독해
겨우 잠을 이뤄도 꿈자리는 뒤숭숭해
마음의 반을 도려내 버리고 난 후에
너라는 감옥에서 풀려날 수 있었네
38도 탕 안처럼 포근한
그날의 온도는 아직도 나의 가슴에
깊게 뿌리내려 뻗어 미련이란 놈은
공기처럼 내 마음을 드나드네
넌 빌런이자 하나님이야
셀 수 없는 많은 노래를
잉태하고 부숴버렸네
널 향해 나는 기도해
널 향해 나는 기도해
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
그때 우린 뜨거운 용암처럼 사랑했네
너의 영은 열이 되어 내 몸에 있네
가열된 너의 온기가 아직도 식질 않네
늦은 새벽 눈물로 가득 찬 내 베개
사진에 찍혀 있던 우리들의 손가락
추억이 되어 흘러내리는 그 손가락
우리의 추억들이 나는 너무 좋았지
라디오에서 소개된 사연들처럼
난 요새
Young Thug Pick Up The Phone
꽂혀있어
너는 어떤 노래를 듣는지 궁금해
아직도 힙합을 듣고 있어
힙합을 듣고 있다면 언젠가
이 노래도 들을 수 있을까
넌 나에게 음악 그 이상의 존재였어
서로를 이해하는 법 몰랐었던 우리들
서툶 때문에 상처를 주고받곤 했잖아
함께 나눈 감정들 너무 달달했기에
다시 예전으로 발걸음을 돌려보려 해도
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
인생이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
마음이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
그건 단조로운 리듬이
그건 단조로운 리듬이 되고 있네
A bientot
A bientot
이제는 너를 잊을게 잊을게
A bientot"
31,보고싶었어,WSG워너비 (4FIRE),"너를 정말 사랑했나 봐 아직도 널 못 잊었나 봐 자꾸만 생각나

시간은 왜 자꾸 나에게 아픈 기억은 다 지우고 좋은 추억만 남아

우 함께 울고 웃던 계절에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 아직 널 사랑한다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어

라라라 라라라라랄랄라 라라라라랄랄라
너도 내 맘 같기를

그땐 정말 어렸었나봐 사랑을 잘 몰랐었나 봐
그게 마음이 아파

우 오늘처럼 눈부신 날에 다시 만난다면

보고싶었어 사랑했던 그때의 너와
니 곁에 그리고 나 널 바라만 봐도 눈물 나게

마냥 좋았어 너에게 못다 한 그 말
조금은 늦었겠지만 (늦었겠지만) 아직 널 사랑한다고

꽃 피는 봄이 온 것처럼
당연한 듯 내곁에 머물 줄만 알았어 (항상)

주는 게 사랑이란 걸 그때야 난 깨달았어
니가 떠난 후에야

나 너에게 참 고마웠다고 벅차 행복했다고
사랑을 가르쳐 준 니가 참

보고싶었어 (보고싶었어) 너에게 듣고 싶은 말
아직 늦지 않았다고 (늦지 않았다고) 너도 날 기다렸다고 말야

라라라 라라라라랄랄라 라라라라랄랄라
보고싶었어 (Baby can you call me now)
라라라 라라라라랄랄라 라라라라랄랄라

너도 내 맘 같기를"
