,제목,가수,가사
32,너의 모든 순간,성시경,"이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면"
33,나의 X에게,경서,"우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
안녕 그대야
요즘 어떻게 지내
가로수길 걷다가
생각이 나서
행복해 보이는 사람들 속에
우리 둘만 없어서
어색했었어
늘 집에 갈 땐
항상 뒤돌아보면
날 보며 웃어주던
네가 생각났어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
토요일마다 가던
한강공원에
이어폰 하나씩
나눠끼고서
벚꽃엔딩같이 듣고 있으면
부러울 게 없었어
너만 있으면
널 사랑할 때
내가 너무 그리워
날 보며 웃어주던
네가 보고 싶어
우리 다시 만날래
예쁘게 빛나던
모든 추억들이
너무 그리워
너의 품에 안길래
이 밤이 새도록
네게 말할 거야
너를 좋아한다고
같이 별 보러 갈래
널 다시 만나면
네 옆에 기대서
잠들고 싶어
너의 품에 안길래
이 밤이 새도록
내 곁에 있어줘
내겐 너뿐이라고"
34,ELEVEN,IVE (아이브),"따분한 나의 눈빛이
무표정했던 얼굴이
널 보며 빛나고 있어
널 담은 눈동자는 odd

내 안에 빼곡하게 피어나는 blue
내가 지금 느끼는 이 감정들은 true
내 입술을 간지럽힌 낯선 그 이름
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

투명한 너와 나의 사이
가만히 들여다보다
일렁인 물결 속으로
더 빠져드는 걸

그날 향기로운 보랏빛의 mood
셀 수 없이 반복해도 기분 좋은 꿈
감히 누가 이렇게 날 설레게 할 줄
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를 (그 눈에 비친 나를)
Aya, aya, aya (가만히 바라봐)
내 앞에 있는 너를
그 눈에 비친 나를
가만히 바라봐

Don't say now
서둘러 오진 마
이 순간이 좋아 난
미처 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를
Aya, aya, aya
내 앞에 있는 너를
그 눈에 비친 나를
사랑하게 됐거든"
35,손이 참 곱던 그대,임영웅,"손이 참 곱던 그대 어느새 이렇게
내 맘 깊숙이 스며들었나요
나 그대의 그 미소에
맘이 떨려 한순간
그대 때문에 음흠 그대여 음흠
날 받아 주세요
나 그대에게 안길게요
한순간에 일초만에
당장 너에게 달려갈게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠
그대여 음흠
날 받아 준다면
다 그대에게 바칠게요
내 하루의 일분일초까지
당신만 생각할게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 유후
저 지는 노을보다 그대만
저 우주 별빛보다 그대만
사랑해 너를 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 음흠
손이 참 곱던 그대
내 맘 깊숙이
나 그대의 그 미소에 음흠"
36,That That (prod. & feat. SUGA of BTS),싸이 (PSY),"20 22
PSY Coming back (이리 오너라)

Long time no see huh?
오래간만이지 huh?
우리 다시 웃고 울고 지지고 볶고
Let’s get loco

Pandemic's over uh
그래 기분이 오져 uh
다시 그분이 오죠 uh
Everybody say

뻑적지근해
걸쩍지근해
시끌벅적거리네
너무 좋아 북적거리네
동서남북 Aye
강남강북 Aye
싹 다 모여 Throw yo hands in the air
I say yeah

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that

야 내가 뭐 하는 사람인지 까먹었지?
That that I like that (Like that)
시간이 지나도 변함없이
That that I like that (Like that)
I don't care I don't care that I like that
That that I like that (Like that)
내가 바라보고 바라왔던 사람들아
모두 다 Ready set go
되려 늘어난 맷집 때리던 분이 불편하겠지
너네 바람대로 망할 거라 고사 지낸
사람들을 모아다가 가볍게 때찌
적당히 하라고 Oh oh oh
그냥 닥치고 다 같이 놀아보자고 Oh oh oh
민윤기와 박재상

Can you feel it?
Can you feel it?
Oh oh woo yeah Oh woo oh

Can you feel it?
Can you feel it?
Oh oh woo yeah Ah

준비하시고 (Go) 쏘세요 (Oh)
That that I like that (Like that)
기분 좋아 Babe (Babe)
흔들어 좌 우 위 아래로 (Sing it)
One two three to the four (Sing it)

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

That that I like that
That that I like that babe
That that I like that
It’s like that that yo

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe

Do what you wanna
Say what you wanna
Do what you wanna (Say what?)
That that I like that babe
That that I like that"
37,인생찬가,임영웅,"꿈처럼 지나간 시간
나는 무얼 찾고 싶었나
지도도 없이 걸어온 삶을
후회하진 않으리
떠난 어제는 떠날 오늘로
남겨지기도 하지
나의 친구여 나의 형제여
내 이름 불러주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
내일은 처음 가는 길
언제나처럼 또 두려워
버들강아지 활짝 웃는 날
후회하지 않으리
비가 내리면 노래하리
눈이 내려도 좋아
나의 친구여 나의 형제여
내 이름 불러 주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
영원한 순간이여 찬란하라"
38,사랑해 진짜,임영웅,"숱한 날들 모두 내게 남아있는 추억들
빛바랜 기억들 사이
그대 모습만이 아련하게 빛나네
지나간 세월이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해 오
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
오색빛의 색이 물든 미완성의 그림 하나
그래 내 마음 같겠지
어느 날 그대가 내게 오기 전까지
지나간 시간이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
내게 와준 그대여 고맙고 또 고마워
하늘이 무너져도 그댈 찾을 수 있어
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
그대를 사랑합니다"
39,떠나보낼 준비해 둘걸 그랬어,임한별,"너랑 입으려 고른 옷 오늘 받아봤어
오래 걸려서 잊고 있었는데
곧 있을 너의 생일에 예약해놨던
커플링마저 취소를 했어
우리 헤어지는 게 이젠 혼자라는 게
아직 실감이 안 나는데 난 어떡할까
너를 떠나보낼 준비해 둘걸 그랬어
나랑 있으면
어떤 불편도 괜찮은 줄만 알았어
다급히 네 맘을 붙잡으려 해도
이미 마음 정해버린
너의 대답에 아무 말 못 하던
끝까지 바보 같던 내가 싫어
멍하니 있다가도 전화벨이 울리면
네 목소리가 들릴 것 같아 어떡할까
너를 떠나보낼 준비해 둘걸 그랬어
나랑 있으면
어떤 불편도 괜찮은 줄만 알았어
다급히 네 맘을 붙잡으려 해도
이미 마음 정해버린
너의 대답에 아무 말 못 하던
끝까지 바보 같던 내가 싫어
날 보기 싫겠지만
어떻게든 널 붙잡고 싶은데
널 되돌릴 방법이 없어
네가 없는 나의 하루는
아무것도 잡히지가 않아
다 미안해 보고 싶어
사랑한다는 말 많이 해줄 걸 그랬어
사랑받으면 예뻐진다는데
나 땜에 많이 야위었어
마지막 가는 길 데려다준대도
괜히 맘 약해진다며
뒤도 안 보고 서둘러 떠나던
너의 맘은 그동안 어땠을까"
40,취중고백,김민석 (멜로망스),"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어"
41,연애편지,임영웅,"노을에 물든 저녁 하늘이
오랜만에 참 좋은 저녁입니다
문득 떠오른 그대 생각에
나지막이 이름을 불러봅니다
나도 몰래 꺼내 본 낡은 수첩엔
그대가 너무도 많아
차마 그립단 말 대신
꽃잎을 넣어 보내며
하얀 종이에 하지 못한 말
아직 그댄 내 고운 사랑입니다
외로이 스쳐 창을 흔드는
바람 소리 쓸쓸한 시간입니다
어둠 만들고 초를 태우며
나지막이 그대를 불러봅니다
나도 몰래 꺼내 본 낡은 사진엔
그대가 너무도 많아
차마 그립단 말 대신
바라본 밤하늘에는
아스라이 먼 작은 별 하나
외로이 홀로 남아 깜박입니다
그대를 닮은 작은 별 하나
외로이 홀로 남아 깜박입니다
그대 고운 이름은 사랑입니다"
42,That's Hilarious,Charlie Puth,"Look how all tables,
Look how all the tables have turned,
Guess you’re finally realizing how bad you messed it up
Girl you’re only making,
Girl you’re only making it worse,
When you call like you always do when you want someone

You took away a year,
of my fucking life and I can’t get it back no more
So when I see those tears,
Coming out your eyes I hope it’s me they're for

You didn’t love when you had me
But now you need me so badly
You can’t be serious
That’s hilarious
Thinking I would still want you
After the things you put me through
Yeah you’re delirious
That’s hilarious

Now you put the blame in,
Now you put the blame in reverse,
Tryina make me feel guilty for everything you’ve done
You’re another lesson,
You’re just another lesson I learned
Don’t give your heart to a girl who still got a broken one

You took away a year,
of my fucking life & I can’t get it back no more
So when I see those tears,
Coming out your eyes I hope it’s me they’re for

You didn’t love when you had me
But now you need me so badly
You can’t be serious
That’s hilarious
Thinking I would still want you
After the things you put me through
Yeah you’re delirious
That’s hilarious
You didn’t love when you had me
But now you need me so badly
You can’t be serious (you can’t be serious)
That’s hilarious (that’s hilarious)
Thinking I would still want you
After the things you put me through
Yeah you’re delirious (delirious)
That’s hilarious (that’s hilarious)"
43,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,"baby get the message
life is hard to maintain
your life is like a tape
가끔은 쉽게 발을 빼
분명 네 꿈 짓밟기 위해
신발을 사는 사람 있을 테니
취소가 불가능해 많은 사람들한테
네 말은 세상 비슷한 걸 테니까
참아야 해 아무 답이 없대
남겨지긴 싫고 떠나는 것도 두려워
사람은 잘만 왔다가 떠나는데
선택지가 있는데 안 좋은 결정했대
난 돈은 그럴 때 쓰려고 버는 건데
난 지켜야만 하는 게 너의 자존심인데
다 지키면서 살 수만은 없기에
답이 없네 아무 답이 없네
집에 오는 bus에서 아이처럼
밖을 쳐다보았겠지만
살짝 독해지는 걸 느껴 어른처럼
짐을 싸고 떠날 거야
even if I lose it all
Nike를 신고 멀어지는
거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 참아야만 했나 봐
멀어지는 거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 삼켜야만 했나 봐
넌 늘 아파하고 난 늘 도와주려고만 하지
구해달라 한적 한번 없이
혼자 붕대를 감지
난 네 등 뒤에 있어 또 등은 손 안 닿고
혼자 낑낑대는 너를 보면 장전된 총
얼굴에 대고 살아가는 것만 같아
넌 나무 위에 올라간
새끼 고양이 같은 거 아니라고
혼자 그냥 두라고 슬퍼하게 두라고
혼자 슬퍼해서 좋을 건 또 뭔데
monday to sunday one day to 평생
너가 white frappe나 마시며
수다나 떨길 바래
세월 가면 잊혀질
점수 따위에 연연하지 말고
너의 dice 낮게 나오면 나에게 말해
너의 하루가 매일 행복 일순 없겠지만
내 역할은 그 사실을 부정하는 것
널 다치게 한 하루를 용서하지도 말 것
물밀려 오듯 올 거야
위험은 pied piper
그 위험은 다 나의 것
넌 알아둬야 해 이걸
언젠간 나 역시도
무너져 버리고 말 거야
이 거지 같은 세상에서
혼자는 불가능하겠지만
그때 가선 너의 가족을 꾸리게 될 거야
너무 좋은 거래엔 항상 거짓이 섞여 있어
사람을 곁에 두되 너무 믿지 말 것
내가 너한테 그랬었던 것처럼 무조건
너의 아이들을 절대적으로 지킬 것"
44,FOREVER 1,소녀시대 (GIRLS' GENERATION),"FOREVER 1
It’s love It’s love
We’re not stopping

네가 머문 이 세상이 더
아름다운 건
겁 없이 외치던 말 '사랑해 너를'
영원하기에
You and I

터지는 눈물이
말하잖아
난 그냥 전부 던진 거야

아무런 망설임 따위도
멋대로 끌렸던 그대로
Oh my baby 달려가 안을게

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

날 꼭 안아 절대 놓치지 마
가슴이 뛰잖아

다시는 아파하지 마
너의 마음을
우린 다 알아
다 알아

내 곁에 있어 줘
이 순간도 마지막처럼
You know your love is crazy 항상 그랬지
Oh my baby 사랑해 기억해

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

언제나 너의 곁에 있고 싶은데
널 생각하면 강해져
There’s no one like you, no one like you
우리 꼭 영원하자

우리 머문 이 세상에서
네게 말했어
다시 태어나도 널 사랑할게
Cause we are the one

I love 너의 (Ooh I Love 나의)
모든 것 내 전부인 너 (전부인 너)
우리는 영원 (Ooh)
We are one

전율 속에 (그 전율 속에)
뜨거운 그 맘을 던져
Just like a love bomb (Just like a love bomb)
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)"
45,다정히 내 이름을 부르면,"경서예지, 전건호","끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 빰을 스치고
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게"
46,LOVE me,BE'O (비오),"Hey girl, Where you at? (Where you at?)
대체 어디서 뭐 하는지 궁금해
기분이 너무 Bad Bad (So bad)
침대가 허전해 잠이 안 오잖아

재미도 없어 TV show
너 데리고 놀던 Pretty boy
그 고민을 내게 털어놓던
너의 표정이 아직 선명해

소파에 벤 니 향기가 비릿해
내 몸이 자꾸 빠져 깊이 Yeah
미리 알아도 난 이리
멍청하게 행동을 해버린다니까

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Try Try
말할까 내 불안에 불안을
끊겼다는 Wi-Fi
이젠 안 믿어 Lie Lie
매일 빠져있던 너의 반지같이
허전함 사이사이
그 자리의 기회를
아무에게나 주고 또 Bye Bye

너는 넘 빨리 들렀다 가기 땜에
나는 타이밍 안 맞아 매일 바삐
화를 내야 할지 아니면 그냥 아기처럼
울어버리고서 떼를 써야 할지

I don't know 아예 모르겠어
이러니 내가 노력해도
시간이 없으니 어쩌겠어
할 말이 하나밖에 더 있겠어

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Oh please
Love me love me love me

Oh please
Love me love me love me

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you"
47,사랑역,임영웅,"돌고 돌아 사랑역
다시 한번 내렸네
아픔만 두고 떠나가는
저 기차는 말이 없는데
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
돌고 돌아 사랑역
다시 한번 내렸네
상처만 두고 떠나가는
저 기차는 말이 없는데
남은 짐 구겨 넣고
돌아서는 내 모습이
마주친 대합실 창 너머로
쓸쓸히 웃음 짓는다
아 아 아 사랑역 나에겐 눈물역
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
나에겐 눈물역"
48,보금자리,임영웅,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
당신만 있으면 돼"
49,사랑해요 그대를,임영웅,"너무나 고마운 사람
너무나 따뜻한 사람
한 번도 잊어본 적 없는
내 마음속에 그 사람
나 그대 생각만 해도
가슴이 뭉클해지고
그런 당신 내 곁에 있어
나는 행복한 사람
그대는 나만의 사랑
그대는 나만의 행복
세월 가도 영원히
당신은 나만의 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내사랑
그대는 나만의 사랑
그대는 나만의 행복
세월 가도 영원히
당신은 나만의 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑"
50,Dynamite,방탄소년단,"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah"
